Phrase	SoundsLike	IPA	DisplayAs
Bernal-Heights	ber-nal-heights		Bernal Heights
Visitacion-Valley	viz-ih-tay-shun-valley		Visitacion Valley
Dogpatch	dog-patch		Dogpatch
Haight-Ashbury	hate-ash-berry		Haight-Ashbury
Excelsior	ex-sell-see-or		Excelsior
Hunters-Point	hunters-point		Hunters Point
Duboce-Triangle	dew-boss-triangle		Duboce Triangle
# === San Francisco Streets (High-Priority) ===
Leavenworth	lev-en-worth		Leavenworth
Divisadero	div-ih-sah-dare-oh		Divisadero
Embarcadero	em-bar-kah-dare-oh		Embarcadero
Cesar-Chavez	say-zar-shah-vez		Cesar Chavez
Van-Ness	van-ness		Van Ness
# === Legal Procedure Terms ===
Mirandize	mih-ran-dize		Mirandize
arraignment	uh-rain-ment		arraignment
misdemeanor	mis-deh-mean-or		misdemeanor
# === App-Specific Behavioral Observation Terms ===
semi-conscious	semi-con-shus		semi-conscious
incoherent	in-ko-hear-ent		incoherent
unintelligible	un-in-tell-ih-juh-bull		unintelligible
