DPH Name,Avail management,DRAFT Name,DPH DIDO Sprint Miro Board,CareConnect MVP,DPH Address,DPH Provider,DPH Population,DPH District,DPH # beds,DRAFT Site Nickname,Service Category,Staffing,Point in Time Capacity,Capacity Constraints,Service Region,Transport in,Transport out,Drop-off,Drop-in,Voluntary,Demographic,Intake Process,LOS,Documentation,Medi-Cal Billable,Site operator/Agency,DRAFT Site address,Site Neighborhood (Dan might want district),ADA Accessible?,Hours of operation,Hours of intake,Contact phone number (or how to reach operator),Voluntary or involuntary admission?,Locked or Unlocked facility?,Eligibility Requirements,Intake Complexity Level,Entry Barriers,Medical Clearance Required,Wait Location,Intake Process Summary,Primary Service Area,Transport Availability,Primary Referral Type,Accepts Police Referrals,EHR Platform,Data Integration Level,Key Access Notes,nstDistrict,latitude,longitude
Horizon Palm Avenue,,,,,Out of county,Horizon Services,SUD,Out of county,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horizon Cherry Hill,,,,,Out of county,Horizon Services,SUD,Out of county,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA Harbor Lights Sub Abuse Tx & Reentry STARR Detox,E-mail to provider -> MS Form -> BHS staff -> FindTreatment-SF,,SA Harbor lights Detox/STARR,,"1275 Harrison St, San Francisco, California",Salvation Army,SUD,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Central/Southern,37.7726,-122.409609
SA Harbor Lights Detox,(treated as one program w/ SA Harbor above),SA Harbor Lights Detox WM,,,"1275 Harrison St, San Francisco, California",Salvation Army,SUD,6,0,SA WM,SUD WM,non-licensed,10,yes,All SF,yes (jail),no,yes,yes,yes,18+,intake + medical screen,>24 hours,Other EHR,no (by choice),Salvation Army,42 McLee Court,SOMA,Yes,24/7,"M-F 9am-10pm, Sat 9-6pm",(415) 345-3400 (General Inquiries),Voluntary,Unlocked,,,,,,,,,,,,,,Central/Southern,37.7726,-122.409609
Kean Stabilization Center (Eleanora Fagan Center),,,,,"1018 Mission St, San Francisco, California",Westside,SUD,0,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tenderloin/Northern,37.780707,-122.409467
Adante Hotel,,,,,"610 Geary St, San Francisco, CA 94102",Five Keys Schools and Programs,Adults,3,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Central/Southern,37.786988,-122.413675
Hummingbird - Potrero,Morning census at 6-6:30 via text to DPH,Hummingbird - Potrero Baker Places,PRC Baker Places Hummingbird Place Peer Respite Potrero (HB Potrero),X,"887 Potrero Ave, San Francisco, California",PRC Baker,MH,10,29,Hummingbird - Potrero,Respite,other licensed staff,30,yes,All SF,yes (cab from hospital),no (may provide tokens),yes,"yes, but prefer referrrals",yes,18+,intake + medical screen,<24 hours,Excel/MS Forms,no,PRC Baker Places,887 Potrero Ave,on General hosptial campus,Yes,24/7,M-F 10:00 AM - 7:00 PM,(415) 777-0333,Voluntary,Unlocked,"SF resident, uninsured or city/state benefits, income source preferred, MH challenges, unhoused, ambulatory with devices ok, ADL independent",Pre-Authorization Required,RSOC approval for overnight,Yes - TB clearance + critter clearance,N/A - taxi from hospital,"Overnight: Hospital sends referral form to RSOC for approval, bed availability confirmed. Day: Drop-in with optional sign-in",Citywide (prioritizes hospital discharges),Taxi vouchers from hospital (high AWOL risk),Hospital referrals (PES/ED/IP) 76%,"Limited - police don't directly refer, call street teams",None - Excel only,Not Integrated,"RSOC pre-auth creates barrier despite 'low-threshold' claim, taxi transport high AWOL risk, no EHR is major care coordination challenge",Mission/Castro,37.760465,-122.407006
Hummingbird - Valencia,Morning census at 6-6:30 via text to DPH,Hummingbird - Valencia Baker Places,PRC Baker Places Hummingbird Place Peer Respite Valencia (HB Valencia),X,"1156 Valencia St, San Francisco, California",PRC Baker,MH,9,28,Hummingbird - Valencia,Respite,other licensed staff,30,yes,Mission-focus,yes (cab from hospital),no (may provide tokens),yes,"yes, but prefer referrrals",yes,18+,intake + medical screen,<24 hours,Excel/MS Forms,no,PRC Baker Places,1156 Valencia St,Mission,Yes,24/7,M - F 10am - 7pm,Call 415-519-7541 (clinical line) 415-329-2005 (main line),Voluntary,Unlocked,"SF resident, uninsured or city/state benefits, income source preferred, MH challenges, unhoused, ambulatory with devices ok, ADL independent",Pre-Authorization Required,RSOC approval for overnight,Yes - TB clearance + critter clearance,N/A - taxi or self-transport,Overnight: Referral to RSOC for approval (no form needed but submit after admission). Day: Drop-in with optional sign-in,Mission neighborhood prioritized + hospital,Taxi vouchers from hospital (high AWOL risk),Street Crisis Team/CBOs (49%),"Limited - police don't directly refer, call street teams",None - Excel only,Not Integrated,"RSOC pre-auth creates barrier, working to remove approval process, no EHR integration affects care coordination",Mission/Castro,37.754354,-122.42112
SFDPH Medical Respite Hospital & Shelter Referral,,,,,"1171 Mission St, San Francisco, California",SF DPH,MH,6,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Central/Southern,37.77779,-122.412465
Community Forward SF - A Woman's Place,,"A Woman's Place, Community Forward ",CATS A Woman's Place Drop In Center (CATS),,"1049 Howard St, San Francisco, California",Community Forward,SUD,6,23,A Woman's Place,Respite,other licensed staff,13,yes,All SF,no,no,yes,yes,yes,18+ women,optional,>24 hours,Excel/MS Forms,no,Community Forward,1171 Mission Street,SOMA,Yes,24/7,,(415) 293-7360 (24/7 Drop-in),Voluntary,Unlocked,"Women and trans women (with children ok), 18+, ambulatory, ADL independent",Immediate Walk-through,True drop-in,No,Inside,"True drop-in, anyone can come in, social workers available for special needs at day center",Mostly TL/PEH,CF has vans but likely not used for this,Community/Self-referral,"Yes, accepted",Avatar (limited upload),Not Integrated,"Lack of oversight/transparency, more interim safe space than formal service, multiple funding sources create complexity",Central/Southern,37.778558,-122.408235
Safe Sleep,,,,,"1661 15th St, San Francisco, California",Gubbio Project,SUD,9,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mission/Castro,37.766873,-122.411073
SFDPH Sobering Center,"Reddinet - not a bed count (red light, on/off mode)",SFDPH Sobering Center,SFDPH Sobering Center,X,"1171 Mission St, San Francisco, California",SF DPH,SUD,6,12,DPH Sobering,SUD Subacute,medical credentials,14,yes,All SF,yes (cab from ED),no,yes,"yes, but prefer referrrals",yes,18+,intake + medical screen,<24 hours,Epic,yes,"Community Forward, DPH",1185 Mission St,SOMA,Yes,24/7,24/7,"628-754-9625, cell 415-218-9109 = sobering nurses station ",Voluntary,Unlocked,"18+, acutely intoxicated on alcohol, not in withdrawal, not incontinent, ADL independent",Brief Screening,Real-time referral (drop-off),Limited - basic medical triage,Inside,"Real-time referral, nurse assessment on arrival, clinical determination, may go on divert if unsafe staffing",Citywide,Major gap - SORT ending/CES van cut,Drop-off from Police/Fire/EMS; Walk-in for Citywide CM clients only,"Yes, common drop-off source",Epic,Fully Integrated,"Transport is major gap, technically drop-in only for Citywide clients but in practice need referrals for triage, ROS exclusion list",Central/Southern,37.77779,-122.412465
"SOMA Rise 1076 Howard, HR360","Reddinet - not a bed count (red light, on/off mode)","SOMA Rise, HR360","HealthRight 360 SoMa Recover, Initiate, Support, Engage (SoMa RISE)",X,"1076 Howard St, San Francisco, California",HealthRight 360,SUD,6,20,SoMa RISE,SUD Subacute,other licensed staff,20,no,TL & SOMA-focus,no,yes (Community Forward van),yes,yes,yes,18+,basic intake,<24 hours,Epic (partial),yes,HR360,1076 Howard St,SOMA,Yes,24/7,24/7,(415) 988-2156,Voluntary,Unlocked,"18+, actively using substances, unhoused/marginally housed, ambulatory, able to consent verbally, non-violent, can follow instructions",Immediate Walk-through,True drop-in,No - basic vital signs only,Inside,"Walk-in or drop-off, vitals check, property check-in, bed assignment, meal offered. If vitals concerning sent to Maria X or hospital",SoMa/Tenderloin primarily,Community Forward van to WM/822 Geary,Self-referral walk-in (85.6%),"Yes, accepted",Epic (custom flow sheet),Fully Integrated,"True low-threshold, designated beds for SCRT (3) and street teams (2), flow sheet needs revision for better data capture",Central/Southern,37.789639,-122.394636
,,Gubbio,The Gubbio Project,,,,,,,Gubbio,Respite,non-licensed,45,no,Mission-focus,no,no,yes,yes,yes,18+,optional,<24 hours,Excel/MS Forms,no,The Gubbio Project,"1661 15th Street, San Francisco, California",Mission,Yes,"Monday – Friday: 7AM – 7PM, Sat - 7a-2p",Monday – Friday: 7AM – 7PM,(415) 861-5848,Voluntary,Unlocked,"PEH, 18+, respectful of quiet space, ADL independent",Immediate Walk-through,True drop-in,No,Inside,"Walk-in, staff check-in, orientation for specific services (e.g. harm reduction)",Mission corridor (16th & Mission),None,Self-referral citywide (focus on Mission corridor),"Yes, SFPD/BART Police accepted",Paper/Excel - De-identified only,No EHR,"True low-threshold, 45 cots for day sleep, numerous on-site partner services, no PHI collected",Mission/Castro,37.766873,-122.411073
,,Hospitality House - Tenderloin Self-Help Center,Hospitality House - All,,,,,,,TL Self-Help Center,Respite,non-licensed,45,no,TL-focus,no,no,"yes, but not police/EMS",yes,yes,18+,optional,>24 hours,Excel/MS Forms,no,Hospitality House,"146 Leavenworth Street, San Francisco, California",Tenderloin / Community Arts Program: Mid-Market,Yes,"Tenderloin SHC: M-F 7a-7p; Community Arts Program: M/W/F 1-6pm, T/R 10-3pm",Tenderloin: M-F 7a-7p,Main Office on Turk St: (415) 749-2100,Voluntary,Unlocked,"Voluntary participation, will not accept police forced referrals (against principles)",Immediate Walk-through,True drop-in,No,Inside,"Low-threshold open door, sign-in for drop-in (optional), screenings when client ready, meet client where they are",Tenderloin focus (welcomes all),None,Community/Self-referral/Word of mouth,"No - against their principles, will not accept police bringing someone in",Paper/Excel + monthly outcome forms,Not Integrated,"Strong peer-based model, multi-layered documentation review, no cross-talk with other DPH sites, circular flow (not pipeline)",Tenderloin/Northern,37.782564,-122.413742
,,Hospitality House - 6th street + Extended Program,Hospitality House - All,,,,,,,6th St Self Help Center+,Respite,non-licensed,20,no,SOMA-focus,no,no,"yes, but not police/EMS",yes,yes,18+,optional,>24 hours,Excel/MS Forms,no,Hospitality House,"169 Sixth Street, San Francisco, California",SOMA,Yes,Mondays thru Fridays: 9am - 10pm; Extended program: 5PM – 10PM,Mondays thru Fridays: 9am - 10pm,415.369.3040,Voluntary,Unlocked,"Voluntary participation, no forced referrals",Immediate Walk-through,True drop-in,No,Inside,"Same as Tenderloin SHC - low threshold, peer-based, harm reduction model",6th Street/SOMA corridor,None,Community/Self-referral/Word of mouth,No - against principles,Paper/Excel,Not Integrated,"Extended program 5-10pm M-F with Naloxone training/distribution, working to expand space for triage services",Tenderloin/Northern,37.778008,-122.431272
,,Hospitality House - Community Building Program,Hospitality House - All,,,,,,,Community Building Program,Respite,non-licensed,25,no,TL-focus,no,no,"yes, but not police/EMS",yes,yes,18+,optional,>24 hours,Excel/MS Forms,no,Hospitality House,"290 Turk Street, San Francisco, California",Tenderloin,Yes,9am-5pm Monday through Friday,,415.749.2100,Voluntary,Unlocked,"Multi-diagnosed, multiply traumatized, homeless, at-risk Tenderloin adults and families",Immediate Walk-through,True drop-in,No,Inside,"Drop-in access whenever client ready for screening, HOLD program, flex fund available",Tenderloin,None,Community/Self-referral,Unknown,Paper/Excel,Not Integrated,"Focuses on community organizing, healing, leadership development, placed 48 in permanent housing",Tenderloin/Northern,37.783098,-122.413777
,,SF Community Living Room,Community Living Room,,,,,,,Community Living Room,Respite,non-licensed,35,no,TL-focus,no,no,"yes, but not police/EMS",yes,yes,18+,optional,<24 hours,Excel/MS Forms,no,"SF Community Health Center, Code Tenderloin, Glide","730 Polk Street, San Francisco, California",TL/Civic Center,Yes,"M-F 9am-12pm, 1pm-5pm","M-F 9am-12pm, 1pm-5pm",No number for public,Voluntary,Unlocked,"No eligibility, intended for PEH in TL including supportive housing residents, 18+, ADL independent",Immediate Walk-through,True drop-in,No,Inside,"Guest walk-in, brief check-in for immediate service needs assessment, low barrier",TL/Civic Center,None,Community/Self-presentation,"No, will not accept",MS Forms,Not Integrated - separate FQHC Epic,"Run by Community Ambassadors with lived experience, on-site wellness clinic (FQHC) and BH services by appointment, housing CM has CE access",Tenderloin/Northern,37.783944,-122.419211
Salvation Army STARR,,,,,,,,,,,,,,,,,,,,,,,,,,Salvation Army,"520 Jessie St #1604, San Francisco, California",,,,,,,,"Justice-involved focus (until July 1), ambulatory, ADL independent",Full Assessment Required,DPH referral with extensive paperwork,Yes - TB clearance + COVID screening,On-site (same campus),"DPH fills out referral forms (LOC Recc, ASAM, DSM-5, consent forms, authorization, health questionnaire, med list, TB clearance, COVID screening), can walk-in if JI",Citywide (SF residency policy challenges),None - courts handle jail transport; BHAC walks people over,Justice/Courts (100% currently due to funding),"Yes, M-F 9am-8pm",Avatar Only (admission/discharge),Not Integrated,"Not following ASAM documentation standards, no HIPAA-compliant clinical notes, no DPH access to client activities/services, primarily JI population",Central/Southern,37.787561,-122.40146
